FName,LName,Team,OppTeam,GamePoints,GameAssists,GameRebounds,GmPointsFor,GmPointsAgainst,Year
Allen,Iverson,Philadelphia 76ers,New York Knicks,25,9,6,101,72,2000
Allen,Iverson,Philadelphia 76ers,Toronto Raptors,24,5,5,104,98,2000
Allen,Iverson,Philadelphia 76ers,Orlando Magic,29,4,8,87,80,2000
Allen,Iverson,Philadelphia 76ers,Miami Heat,23,2,7,84,82,2000
Allen,Iverson,Philadelphia 76ers,Detroit Pistons,28,8,2,103,94,2000
Allen,Iverson,Philadelphia 76ers,Minnesota Timberwolves,18,5,1,82,82,2000
Allen,Iverson,Philadelphia 76ers,Boston Celtics,17,7,3,85,83,2000
Allen,Iverson,Philadelphia 76ers,Cleveland Caveliers,22,5,4,107,98,2000
Allen,Iverson,Philadelphia 76ers,Miami Heat,19,5,6,94,73,2000
Allen,Iverson,Philadelphia 76ers,Boston Celtics,26,8,2,114,90,2000
Tim,Duncan,San Antonio Spurs,Indiana Pacers,16,0,10,98,85,2000
Tim,Duncan,San Antonio Spurs,Minnesota Timberwolves,24,3,9,103,91,2000
Tim,Duncan,San Antonio Spurs,Golden State Warriors,16,3,13,117,105,2000
Tim,Duncan,San Antonio Spurs,Pheonix Suns,18,1,10,81,100,2000
Tim,Duncan,San Antonio Spurs,Los Angeles Lakers,22,3,17,91,81,2000
Tim,Duncan,San Antonio Spurs,Dallas Mavericks,11,4,14,77,79,2000
Tim,Duncan,San Antonio Spurs,Memphis Grizzlies,20,2,13,91,78,2000
Tim,Duncan,San Antonio Spurs,Utah Jazz,15,3,12,86,79,2000
Tim,Duncan,San Antonio Spurs,Washington Wizards,19,6,10,99,95,2000
Tim,Duncan,San Antonio Spurs,Minnesota Timberwolves,22,5,14,94,99,2000
Ray,Allen,Milwaukee Bucks,Dallas Mavericks,26,2,4,93,97,2000
Ray,Allen,Milwaukee Bucks,Houston Rockets,19,1,6,93,115,2000
Ray,Allen,Milwaukee Bucks,Detroit Pistons,12,6,5,97,88,2000
Ray,Allen,Milwaukee Bucks,New York Knicks,20,5,7,89,103,2000
Ray,Allen,Milwaukee Bucks,Indiana Pacers,17,1,5,97,108,2000
Ray,Allen,Milwaukee Bucks,Minnesota Timberwolves,40,0,3,92,103,2000
Ray,Allen,Milwaukee Bucks,Atlanta Hawks,17,3,4,84,74,2000
Ray,Allen,Milwaukee Bucks,Cleveland Caveliers,23,2,5,89,76,2000
Ray,Allen,Milwaukee Bucks,Toronto Raptors,29,2,4,102,111,2000
Ray,Allen,Milwaukee Bucks,Portland Trail Blaizers,19,4,3,84,93,2000
Kobe,Bryant,Los Angeles Lakers,Portland Trail Blaizers,14,2,2,96,86,2000
Kobe,Bryant,Los Angeles Lakers,Utah Jazz,31,5,4,92,97,2000
Kobe,Bryant,Los Angeles Lakers,Memphis Grizzlies,22,2,5,98,89,2000
Kobe,Bryant,Los Angeles Lakers,Los Angeles Clippers,21,6,5,108,103,2000
Kobe,Bryant,Los Angeles Lakers,Houston Rockets,15,3,3,74,84,2000
Kobe,Bryant,Los Angeles Lakers,San Antonio Spurs,32,8,3,81,91,2000
Kobe,Bryant,Los Angeles Lakers,Houston Rockets,37,2,10,105,99,2000
Kobe,Bryant,Los Angeles Lakers,Denver Nuggets,31,9,4,119,103,2000
Kobe,Bryant,Los Angeles Lakers,Sacramento Kings,31,3,10,112,110,2000
Kobe,Bryant,Los Angeles Lakers,Denver Nuggets,32,4,5,86,87,2000
Jason,Kidd,Brooklyn Nets,Indiana Pacers,14,9,10,103,97,2001
Jason,Kidd,Brooklyn Nets,Boston Celtics,21,10,8,92,95,2001
Jason,Kidd,Brooklyn Nets,Detroit Pistons,13,5,6,88,102,2001
Jason,Kidd,Brooklyn Nets,Charlotte Hornets,10,8,6,95,85,2001
Jason,Kidd,Brooklyn Nets,Oklahoma City Thunder,16,13,9,106,94,2001
Jason,Kidd,Brooklyn Nets,Cleveland Caveliers,10,4,7,87,84,2001
Jason,Kidd,Brooklyn Nets,Indiana Pacers,20,10,3,91,82,2001
Jason,Kidd,Brooklyn Nets,New York Knicks,12,15,6,109,83,2001
