FName,LName,Team,OppTeam,GamePoints,GameAssists,GameRebounds,GmPointsFor,GmPointsAgainst,Year
Kevin,Garnett,Boston Celtics,Chicago Bulls,5,7,3,80,90,2007
Kevin,Garnett,Boston Celtics,Indiana Pacers,9,4,5,106,99,2008
Kevin,Garnett,Boston Celtics,Toronto Raptors,14,12,1,114,95,2009
Kevin,Garnett,Boston Celtics,New York Knicks,30,13,2,106,109,2010
Kevin,Garnett,Boston Celtics,Miami Heat,14,4,5,97,125,2011
Kevin,Garnett,Boston Celtics,Minnesota Timberwolves,16,9,4,96,89,2012
Kevin,Garnett,Boston Celtics,Pheonix Suns,11,8,5,101,79,2013
Kevin,Garnett,Boston Celtics,Memphis Grizzlies,19,1,10,91,93,2014
Kevin,Garnett,Boston Celtics,Portland Trail Blaizers,17,0,2,79,71,2015
Kevin,Garnett,Boston Celtics,Washington Wizards,14,1,7,88,80,2016
Kevin,Garnett,Boston Celtics,New Orleans Pelicans,13,1,3,87,93,2017
Dwyane,Wade,Miami Heat,Golden State Warriors,14,4,4,106,112,2008
Dwyane,Wade,Miami Heat,Atlanta Hawks,21,5,2,94,101,2009
Dwyane,Wade,Miami Heat,Houston Rockets,34,8,4,106,111,2010
Dwyane,Wade,Miami Heat,Detroit Pistons,12,7,2,90,100,2011
Dwyane,Wade,Miami Heat,Chicago Bulls,10,6,3,74,94,2012
Dwyane,Wade,Miami Heat,Houston Rockets,11,7,2,96,97,2013
Dwyane,Wade,Miami Heat,Detroit Pistons,8,6,2,106,113,2014
Dwyane,Wade,Miami Heat,Portland Trail Blaizers,15,10,5,85,98,2015
Dwyane,Wade,Miami Heat,Sacramento Kings,10,10,4,81,99,2016
Dwyane,Wade,Miami Heat,Utah Jazz,24,12,2,93,102,2017
Dwyane,Wade,Miami Heat,Oklahoma City Thunder,6,2,3,82,100,2018
Carmelo,Anthony,Denver Nuggets,Memphis Grizzlies,16,2,6,89,70,2004
Carmelo,Anthony,Denver Nuggets,Orlando Magic,26,3,5,108,100,2005
Carmelo,Anthony,Denver Nuggets,Washington Wizards,37,4,10,114,99,2006
Carmelo,Anthony,Denver Nuggets,Orlando Magic,16,4,6,102,84,2007
Carmelo,Anthony,Denver Nuggets,Philadelphia 76ers,36,10,11,123,120,2008
Carmelo,Anthony,Denver Nuggets,Indiana Pacers,12,1,6,78,90,2009
Carmelo,Anthony,Denver Nuggets,Memphis Grizzlies,16,0,5,85,94,2010
Carmelo,Anthony,Denver Nuggets,Washington Wizards,17,1,11,79,87,2011
Carmelo,Anthony,Denver Nuggets,Houston Rockets,12,1,11,76,74,2012
Carmelo,Anthony,Denver Nuggets,New Orleans Pelicans,16,1,13,88,83,2013
Carmelo,Anthony,Denver Nuggets,Cleveland Caveliers,21,3,16,100,108,2014
Lebron ,James,Cleveland Cavaliers,Oklahoma City Thunder,31,1,5,112,85,2005
Lebron ,James,Cleveland Cavaliers,Detroit Pistons,22,4,10,98,89,2006
Lebron ,James,Cleveland Cavaliers,Portland Trail Blaizers,20,2,14,84,91,2007
Lebron ,James,Cleveland Cavaliers,Sacramento Kings,17,0,4,74,76,2008
Lebron ,James,Cleveland Cavaliers,Utah Jazz,24,3,14,84,88,2009
Lebron ,James,Cleveland Cavaliers,Oklahoma City Thunder,18,0,2,99,91,2010
Lebron ,James,Cleveland Cavaliers,Memphis Grizzlies,14,2,10,82,102,2011
Lebron ,James,Cleveland Cavaliers,Orlando Magic,13,0,7,94,89,2012
Lebron ,James,Cleveland Cavaliers,Washington Wizards,19,1,7,80,86,2013
Lebron ,James,Cleveland Cavaliers,Orlando Magic,20,2,11,70,78,2014
Lebron ,James,Cleveland Cavaliers,Philadelphia 76ers,24,1,13,74,85,2015
Steve,Francis,New York Knicks,Indiana Pacers,16,3,17,95,98,2002
Steve,Francis,New York Knicks,Memphis Grizzlies,5,2,7,91,83,2003
Steve,Francis,New York Knicks,Washington Wizards,6,0,5,93,101,2004
Steve,Francis,New York Knicks,Detroit Pistons,10,1,6,107,102,2005
Steve,Francis,New York Knicks,Portland Trail Blaizers,6,0,4,69,94,2006
Steve,Francis,New York Knicks,Sacramento Kings,6,0,3,85,112,2007
Steve,Francis,New York Knicks,Utah Jazz,5,1,3,96,137,2008
Steve,Francis,New York Knicks,Oklahoma City Thunder,20,1,12,126,121,2009
Steve,Francis,New York Knicks,Memphis Grizzlies,8,3,7,99,109,2010
Steve,Francis,New York Knicks,Orlando Magic,19,3,13,113,100,2011
Steve,Francis,New York Knicks,Washington Wizards,8,1,5,98,84,2012
Steph,Curry,Golden State Warriors,Orlando Magic,16,1,13,88,83,2009
Steph,Curry,Golden State Warriors,Philadelphia 76ers,21,3,16,100,108,2010
Steph,Curry,Golden State Warriors,Indiana Pacers,31,1,5,112,85,2011
Steph,Curry,Golden State Warriors,Memphis Grizzlies,22,4,10,98,89,2012
Steph,Curry,Golden State Warriors,Washington Wizards,20,2,14,84,91,2013
